temp	layout	bb	ratio
0.015	col	bit	0.0004840445024030329
0.015	col	byte	0.0005344503514426905
0.015	random	bit	0.0017029459128126072
0.015	random	byte	0.0015908022968071935
0.015	row	bit	0.0004988900965041751
0.015	row	byte	0.0005537173094868656
0.015	spacefill	bit	0.0005906983758138707
0.015	spacefill	byte	0.000670345082306307
0.015	spiral	bit	0.0009844972930231177
0.015	spiral	byte	0.0009398171628428651
0.06535353535353536	col	bit	0.0003910642025064051
0.06535353535353536	col	byte	0.0004349163195524911
0.06535353535353536	random	bit	0.001380249577877252
0.06535353535353536	random	byte	0.0014933222382812756
0.06535353535353536	row	bit	0.00038168803781094685
0.06535353535353536	row	byte	0.0004256656018973354
0.06535353535353536	spacefill	bit	0.00046724554065700346
0.06535353535353536	spacefill	byte	0.0005154531031723697
0.06535353535353536	spiral	bit	0.0008254931667293047
0.06535353535353536	spiral	byte	0.0007511883301955721
0.11570707070707072	col	bit	0.0004840445024030329
0.11570707070707072	col	byte	0.0005376790019979249
0.11570707070707072	random	bit	0.0017002111981097652
0.11570707070707072	random	byte	0.001619254554085283
0.11570707070707072	row	bit	0.0004988900965041751
0.11570707070707072	row	byte	0.0005536286868414974
0.11570707070707072	spacefill	bit	0.0005906983758138707
0.11570707070707072	spacefill	byte	0.000670632027043491
0.11570707070707072	spiral	bit	0.0009844972930231177
0.11570707070707072	spiral	byte	0.0009397751374398416
0.16606060606060608	col	bit	0.0003910642025064051
0.16606060606060608	col	byte	0.00043495225352584307
0.16606060606060608	random	bit	0.0013724361072977034
0.16606060606060608	random	byte	0.0013007943070777186
0.16606060606060608	row	bit	0.00038168803781094685
0.16606060606060608	row	byte	0.0004263669389545861
0.16606060606060608	spacefill	bit	0.00046724554065700346
0.16606060606060608	spacefill	byte	0.0005183918139930139
0.16606060606060608	spiral	bit	0.0008254931667293047
0.16606060606060608	spiral	byte	0.0007554236262726477
0.21641414141414145	col	bit	0.0004840445024030329
0.21641414141414145	col	byte	0.0005376353864481689
0.21641414141414145	random	bit	0.0016970858098779458
0.21641414141414145	random	byte	0.001535249994724852
0.21641414141414145	row	bit	0.0004988900965041751
0.21641414141414145	row	byte	0.0005537985046712649
0.21641414141414145	spacefill	bit	0.0005906983758138707
0.21641414141414145	spacefill	byte	0.0006710378743383326
0.21641414141414145	spiral	bit	0.0009844972930231177
0.21641414141414145	spiral	byte	0.0009401131554379818
0.2667676767676768	col	bit	0.0003910642025064051
0.2667676767676768	col	byte	0.0004320536831220669
0.2667676767676768	random	bit	0.0014005646013840781
0.2667676767676768	random	byte	0.0015019420662888087
0.2667676767676768	row	bit	0.00038168803781094685
0.2667676767676768	row	byte	0.0004262861420267578
